Année,situation,Genre,Domaine,Taux d’insertion,Part des emplois de niveau cadre,Part des emplois stables,Part des emplois à temps plein,Salaire brut annuel estimé,Part des diplômés boursiers dans la discipline,Taux de chômage national
2015,18 mois après le diplôme,femmes et hommes,"Droit, économie et gestion",93.0,55.0,79.0,98.0,31700.0,21.0,8.6
2014,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",87.0,45.0,64.0,86.0,25500.0,39.0,9.3
2014,30 mois après le diplôme,femmes,"Lettres, langues, arts",88.0,43.0,65.0,86.0,25400.0,39.0,9.3
2019,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",81.0,44.0,56.0,83.0,27300.0,44.0,7.2
2020,18 mois après le diplôme,femmes,"Lettres, langues, arts",87.0,44.0,58.0,86.0,28200.0,44.0,6.9
2019,18 mois après le diplôme,femmes,"Lettres, langues, arts",82.0,43.0,55.0,83.0,27200.0,46.0,7.2
2016,18 mois après le diplôme,hommes,"Lettres, langues, arts",82.0,45.0,55.0,83.0,25000.0,37.0,8.5
2017,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",88.0,47.0,66.0,89.0,27300.0,43.0,7.8
2018,18 mois après le diplôme,femmes,"Lettres, langues, arts",80.0,34.0,51.0,73.0,23400.0,39.0,7.8
2018,30 mois après le diplôme,femmes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2015,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,8.6
2012,18 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,10.1
2017,30 mois après le diplôme,femmes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2020,30 mois après le diplôme,femmes,"Lettres, langues, arts",85.0,61.0,60.0,71.0,26800.0,50.0,6.9
2019,18 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.2
2016,30 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,8.5
2015,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",95.0,74.0,27.0,74.0,23400.0,23.0,8.6
2017,30 mois après le diplôme,femmes,"Lettres, langues, arts",91.0,54.0,48.0,78.0,26500.0,40.0,7.8
2011,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",91.0,58.0,47.0,73.0,23400.0,29.0,9.7
2020,30 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,6.9
2015,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",88.0,74.0,23.0,71.0,21800.0,23.0,8.6
2013,18 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,9.9
2016,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,8.5
2014,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",90.0,58.0,67.0,87.0,26500.0,36.0,9.3
2018,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",84.0,49.0,57.0,84.0,26200.0,45.0,7.8
2019,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",89.0,59.0,64.0,91.0,28700.0,48.0,7.2
2014,18 mois après le diplôme,hommes,"Lettres, langues, arts",88.0,55.0,57.0,87.0,25000.0,33.0,9.3
2019,30 mois après le diplôme,hommes,"Lettres, langues, arts",90.0,61.0,60.0,88.0,30200.0,43.0,7.2
2019,18 mois après le diplôme,femmes,"Lettres, langues, arts",80.0,54.0,53.0,88.0,27800.0,49.0,7.2
2012,30 mois après le diplôme,hommes,"Lettres, langues, arts",86.0,56.0,63.0,86.0,27500.0,32.80387685290764,10.1
2013,18 mois après le diplôme,femmes,"Lettres, langues, arts",87.0,51.0,66.0,85.0,25000.0,41.0,9.9
2017,18 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2014,30 mois après le diplôme,femmes,"Lettres, langues, arts",90.0,50.0,67.0,85.0,25400.0,32.0,9.3
2014,18 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,9.3
2020,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",84.0,38.0,58.0,86.0,27100.0,40.0,6.9
2016,30 mois après le diplôme,hommes,"Lettres, langues, arts",80.0,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,31.0,8.5
2015,30 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,8.6
2012,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",87.0,49.0,62.0,81.0,24200.0,38.0,10.1
2018,30 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2012,30 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,10.1
2012,30 mois après le diplôme,femmes,"Lettres, langues, arts",88.0,49.0,70.0,86.0,25400.0,32.80387685290764,10.1
2016,30 mois après le diplôme,femmes,"Lettres, langues, arts",87.0,37.0,68.0,82.0,21800.0,42.0,8.5
2018,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",86.0,41.0,80.0,92.0,28900.0,45.0,7.8
2017,18 mois après le diplôme,femmes,"Lettres, langues, arts",86.0,41.0,64.0,95.0,26500.0,48.0,7.8
2013,18 mois après le diplôme,hommes,"Lettres, langues, arts",87.0,32.0,59.0,94.0,25000.0,46.0,9.9
2019,30 mois après le diplôme,femmes,"Lettres, langues, arts",92.0,51.0,78.0,96.0,29600.0,48.0,7.2
2019,18 mois après le diplôme,femmes,"Lettres, langues, arts",83.0,44.0,67.0,95.0,29600.0,48.0,7.2
2020,30 mois après le diplôme,femmes,"Lettres, langues, arts",91.0,50.0,79.0,95.0,31200.0,46.0,6.9
2013,18 mois après le diplôme,femmes,"Lettres, langues, arts",87.0,71.0,74.0,89.0,26500.0,34.0,9.9
2017,18 mois après le diplôme,femmes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2014,30 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,9.3
2014,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",89.0,61.0,68.0,86.0,29569.70041714069,47.0,9.3
2014,30 mois après le diplôme,femmes,"Lettres, langues, arts",86.0,62.0,71.0,92.0,29569.70041714069,39.0,9.3
2019,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.2
2020,18 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,6.9
2016,30 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,8.5
2016,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,8.5
2017,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2017,18 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2013,18 mois après le diplôme,femmes,"Lettres, langues, arts",88.0,51.0,44.0,78.0,25600.0,33.0,9.9
2013,30 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,9.9
2016,30 mois après le diplôme,hommes,"Lettres, langues, arts",92.0,69.0,77.0,89.0,29569.70041714069,37.0,8.5
2018,18 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2019,30 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.2
2012,18 mois après le diplôme,femmes,"Lettres, langues, arts",84.0,62.268107698141826,65.0,86.0,25000.0,32.80387685290764,10.1
2017,18 mois après le diplôme,hommes,"Lettres, langues, arts",71.0,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,43.0,7.8
2013,30 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,9.9
2018,30 mois après le diplôme,femmes,"Lettres, langues, arts",73.0,46.0,74.0,85.0,28900.0,45.0,7.8
2018,18 mois après le diplôme,femmes,"Lettres, langues, arts",88.0,47.0,52.0,78.0,24400.0,35.0,7.8
2019,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",90.0,32.0,59.0,81.0,25000.0,40.0,7.2
2019,30 mois après le diplôme,hommes,"Lettres, langues, arts",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.2
2019,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts",77.0,29.0,53.0,77.0,25000.0,40.0,7.2
2016,18 mois après le diplôme,hommes,"Lettres, langues, arts",87.0,62.268107698141826,50.0,91.73041559396837,29569.70041714069,44.0,8.5
2019,18 mois après le diplôme,hommes,Sciences humaines et sociales,83.0,61.0,53.0,89.0,29600.0,34.0,7.2
2015,18 mois après le diplôme,femmes,Sciences humaines et sociales,83.0,52.0,45.0,77.0,25000.0,35.0,8.6
2020,30 mois après le diplôme,hommes,Sciences humaines et sociales,87.0,58.0,54.0,92.0,29400.0,36.0,6.9
2019,18 mois après le diplôme,femmes,Sciences humaines et sociales,79.0,36.0,43.0,87.0,26500.0,41.0,7.2
2016,30 mois après le diplôme,femmes,Sciences humaines et sociales,79.0,35.0,41.0,87.0,23100.0,44.0,8.5
2017,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,81.0,37.0,48.0,85.0,24300.0,41.0,7.8
2016,30 mois après le diplôme,hommes,Sciences humaines et sociales,87.0,65.0,67.0,97.0,29300.0,35.0,8.5
2016,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,86.0,60.0,61.0,95.0,27900.0,35.0,8.5
2013,18 mois après le diplôme,femmes,Sciences humaines et sociales,85.0,76.0,45.0,55.0,23700.0,31.0,9.9
2017,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,90.0,88.0,53.0,64.0,26200.0,38.0,7.8
2018,30 mois après le diplôme,femmes,Sciences humaines et sociales,94.0,90.0,63.0,74.0,28100.0,43.0,7.8
2015,30 mois après le diplôme,hommes,Sciences humaines et sociales,90.0,87.0,65.0,74.0,28100.0,39.0,8.6
2016,18 mois après le diplôme,femmes,Sciences humaines et sociales,89.0,79.0,45.0,61.0,25000.0,38.0,8.5
2019,30 mois après le diplôme,femmes,Sciences humaines et sociales,91.0,52.0,65.0,93.0,28100.0,36.0,7.2
2020,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,88.0,55.0,54.0,91.0,30000.0,36.0,6.9
2015,30 mois après le diplôme,hommes,Sciences humaines et sociales,90.0,66.0,70.0,94.0,31200.0,28.0,8.6
2011,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,89.0,58.0,67.0,91.0,28100.0,29.0,9.7
2016,30 mois après le diplôme,femmes,Sciences humaines et sociales,88.0,54.0,65.0,94.0,28100.0,32.0,8.5
2012,18 mois après le diplôme,hommes,Sciences humaines et sociales,83.0,62.268107698141826,57.0,88.0,28100.0,32.80387685290764,10.1
2018,30 mois après le diplôme,femmes,Sciences humaines et sociales,86.0,51.0,62.0,91.0,28100.0,36.0,7.8
2019,30 mois après le diplôme,hommes,Sciences humaines et sociales,91.0,63.0,62.0,95.0,30400.0,32.0,7.2
2019,18 mois après le diplôme,femmes,Sciences humaines et sociales,84.0,48.0,48.0,89.0,28100.0,37.0,7.2
2017,30 mois après le diplôme,hommes,Sciences humaines et sociales,93.0,68.0,73.0,97.0,31200.0,30.0,7.8
2016,18 mois après le diplôme,femmes,Sciences humaines et sociales,77.0,28.0,32.0,71.0,21300.0,47.0,8.5
2017,30 mois après le diplôme,femmes,Sciences humaines et sociales,79.0,24.0,20.0,82.0,22600.0,48.0,7.8
2017,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,73.0,46.0,65.0,74.0,29569.70041714069,33.0,7.8
2018,18 mois après le diplôme,hommes,Sciences humaines et sociales,87.0,63.0,50.0,65.0,29569.70041714069,47.0,7.8
2019,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,84.0,70.0,71.0,85.0,31200.0,29.0,7.2
2018,30 mois après le diplôme,hommes,Sciences humaines et sociales,85.0,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,47.0,7.8
2014,18 mois après le diplôme,hommes,Sciences humaines et sociales,88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,9.3
2019,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,95.0,42.0,58.0,91.0,27200.0,36.0,7.2
2013,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,9.9
2018,18 mois après le diplôme,femmes,Sciences humaines et sociales,88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2014,18 mois après le diplôme,hommes,Sciences humaines et sociales,86.0,43.0,36.0,85.0,25000.0,28.0,9.3
2016,18 mois après le diplôme,femmes,Sciences humaines et sociales,82.0,41.0,34.0,84.0,24200.0,39.0,8.5
2015,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,85.0,48.0,52.0,86.0,25800.0,35.0,8.6
2017,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,88.0,49.0,58.0,87.0,26500.0,34.0,7.8
2018,30 mois après le diplôme,hommes,Sciences humaines et sociales,74.0,63.0,62.0,92.0,30400.0,39.0,7.8
2012,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,85.0,45.0,51.0,89.0,25100.0,32.0,10.1
2011,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,84.0,43.0,55.0,86.0,25000.0,29.0,9.7
2018,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales,84.0,50.0,58.0,88.0,28100.0,34.0,7.8
2017,18 mois après le diplôme,femmes,Sciences humaines et sociales,84.0,42.0,43.0,88.0,25000.0,44.0,7.8
2015,18 mois après le diplôme,hommes,"Sciences, technologies et santé",90.0,92.0,88.0,97.0,37400.0,35.0,8.6
2017,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",98.0,89.0,86.0,100.0,34000.0,33.0,7.8
2014,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",97.0,90.0,84.0,100.0,36200.0,31.0,9.3
2019,30 mois après le diplôme,femmes,"Sciences, technologies et santé",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.2
2014,18 mois après le diplôme,femmes,"Sciences, technologies et santé",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,9.3
2020,30 mois après le diplôme,hommes,"Sciences, technologies et santé",98.0,100.0,86.0,100.0,36800.0,29.0,6.9
2019,18 mois après le diplôme,hommes,"Sciences, technologies et santé",89.0,82.0,77.0,89.0,37100.0,22.0,7.2
2016,18 mois après le diplôme,femmes,"Sciences, technologies et santé",95.0,72.0,80.0,100.0,31800.0,30.0,8.5
2016,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",99.0,78.0,89.0,99.0,35900.0,28.0,8.5
2017,30 mois après le diplôme,hommes,"Sciences, technologies et santé",94.0,95.0,84.0,100.0,37700.0,30.0,7.8
2018,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",91.0,86.0,91.0,99.0,35000.0,28.0,7.8
2014,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",93.0,83.0,88.0,99.0,33200.0,30.0,9.3
2014,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",87.0,79.0,72.0,98.0,31200.0,30.0,9.3
2020,18 mois après le diplôme,hommes,"Sciences, technologies et santé",88.0,82.0,82.0,98.0,37000.0,27.0,6.9
2020,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",96.0,83.0,92.0,98.0,36700.0,27.0,6.9
2015,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",95.0,83.0,88.0,99.0,33500.0,28.0,8.6
2014,30 mois après le diplôme,hommes,"Sciences, technologies et santé",95.0,92.0,93.0,98.0,33400.0,33.0,9.3
2013,18 mois après le diplôme,hommes,"Sciences, technologies et santé",89.0,86.0,72.0,99.0,31200.0,39.0,9.9
2019,30 mois après le diplôme,femmes,"Sciences, technologies et santé",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.2
2014,18 mois après le diplôme,hommes,"Sciences, technologies et santé",92.0,87.0,82.0,98.0,31200.0,33.0,9.3
2019,18 mois après le diplôme,femmes,"Sciences, technologies et santé",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.2
2020,18 mois après le diplôme,hommes,"Sciences, technologies et santé",85.0,86.0,84.0,98.0,37000.0,29.0,6.9
2020,30 mois après le diplôme,femmes,"Sciences, technologies et santé",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,6.9
2016,18 mois après le diplôme,hommes,"Sciences, technologies et santé",94.0,91.0,88.0,99.0,31700.0,34.0,8.5
2016,18 mois après le diplôme,femmes,"Sciences, technologies et santé",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,8.5
2016,30 mois après le diplôme,femmes,"Sciences, technologies et santé",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,8.5
2017,30 mois après le diplôme,femmes,"Sciences, technologies et santé",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.8
2015,18 mois après le diplôme,femmes,"Sciences, technologies et santé",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,8.6
2018,30 mois après le diplôme,hommes,"Sciences, technologies et santé",97.0,83.0,96.0,100.0,35000.0,32.0,7.8
2014,30 mois après le diplôme,hommes,"Sciences, technologies et santé",94.0,80.0,90.0,99.0,33000.0,42.0,9.3
2019,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",96.0,84.0,89.0,100.0,34500.0,36.0,7.2
2020,18 mois après le diplôme,femmes,"Sciences, technologies et santé",100.0,79.0,93.0,96.0,35100.0,41.0,6.9
2015,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",96.0,79.0,91.0,99.0,33000.0,33.0,8.6
2012,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",90.0,75.0,81.0,98.0,30900.0,41.0,10.1
2015,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",94.0,77.0,80.0,98.0,30900.0,33.0,8.6
2013,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",83.0,77.0,73.0,96.0,31200.0,28.0,9.9
2018,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",88.0,89.0,80.0,100.0,32800.0,33.0,7.8
2013,18 mois après le diplôme,hommes,"Sciences, technologies et santé",86.0,83.0,76.0,97.0,31600.0,25.0,9.9
2019,30 mois après le diplôme,femmes,"Sciences, technologies et santé",88.00249554367201,62.268107698141826,65.86825688073394,91.73041559396837,29569.70041714069,32.80387685290764,7.2
2019,18 mois après le diplôme,hommes,"Sciences, technologies et santé",87.0,70.0,72.0,97.0,33800.0,38.0,7.2
2020,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",80.0,73.0,71.0,95.0,34900.0,28.0,6.9
2016,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",96.0,69.0,90.0,99.0,33300.0,27.0,8.5
2012,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",90.0,76.0,82.0,100.0,31200.0,35.0,10.1
2015,30 mois après le diplôme,femmes,"Sciences, technologies et santé",94.0,70.0,76.0,95.0,31200.0,27.0,8.6
2013,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",91.0,85.0,89.0,99.0,33000.0,30.0,9.9
2014,30 mois après le diplôme,hommes,"Sciences, technologies et santé",92.0,89.0,89.0,99.0,33800.0,29.0,9.3
2018,18 mois après le diplôme,femmes,"Sciences, technologies et santé",89.0,95.0,74.0,98.0,32100.0,32.0,7.8
2018,18 mois après le diplôme,hommes,"Sciences, technologies et santé",93.0,95.0,86.0,99.0,33800.0,27.0,7.8
2020,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",86.0,82.0,80.0,99.0,37100.0,27.0,6.9
2019,18 mois après le diplôme,hommes,"Sciences, technologies et santé",82.0,83.0,83.0,99.0,34300.0,33.0,7.2
2020,30 mois après le diplôme,femmes,"Sciences, technologies et santé",95.0,85.0,89.0,99.0,37000.0,23.0,6.9
2011,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",95.0,91.0,91.0,99.0,33200.0,29.0,9.7
2016,30 mois après le diplôme,femmes,"Sciences, technologies et santé",94.0,85.0,88.0,96.0,33400.0,27.0,8.5
2012,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",90.0,84.0,78.0,98.0,31200.0,35.0,10.1
2015,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",95.0,89.0,91.0,100.0,34300.0,28.0,8.6
2013,30 mois après le diplôme,femmes,"Sciences, technologies et santé",96.0,58.0,78.0,94.0,31600.0,18.0,9.9
2017,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",95.0,80.0,78.0,100.0,31200.0,20.0,7.8
2018,30 mois après le diplôme,hommes,"Sciences, technologies et santé",89.0,82.0,91.0,98.0,34300.0,18.0,7.8
2013,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",93.0,73.0,84.0,98.0,32800.0,18.0,9.9
2013,18 mois après le diplôme,hommes,"Sciences, technologies et santé",86.0,76.0,76.0,98.0,31500.0,18.0,9.9
2018,18 mois après le diplôme,hommes,"Sciences, technologies et santé",88.0,82.0,86.0,99.0,32800.0,18.0,7.8
2018,18 mois après le diplôme,femmes,"Sciences, technologies et santé",88.0,68.0,72.0,100.0,30900.0,21.0,7.8
2019,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",93.0,83.0,87.0,99.0,35000.0,11.0,7.2
2020,18 mois après le diplôme,hommes,"Sciences, technologies et santé",90.0,76.0,73.0,100.0,37400.0,13.0,6.9
2019,18 mois après le diplôme,hommes,"Sciences, technologies et santé",88.0,84.0,82.0,99.0,35900.0,12.0,7.2
2012,30 mois après le diplôme,hommes,"Sciences, technologies et santé",95.0,82.0,88.0,99.0,33500.0,32.80387685290764,10.1
2017,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",95.0,81.0,88.0,99.0,35100.0,20.0,7.8
2013,30 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",95.0,92.0,93.0,99.0,33400.0,31.0,9.9
2017,18 mois après le diplôme,femmes et hommes,"Sciences, technologies et santé",97.0,93.0,90.0,99.0,33100.0,33.0,7.8
2018,30 mois après le diplôme,hommes,"Sciences, technologies et santé",95.0,94.0,95.0,99.0,36800.0,30.0,7.8
